#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
26308	332	9212	106829	114646	-	-	BIRC5	AURKB	API4|EPR-1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Two-hybrid	physical	Wheatley SP (2001)	PUBMED:11516652	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O15392	H3BLT4	NP_001159|NP_001012270|NP_001012271	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251030	55143	9212	120446	114646	-	-	CDCA8	AURKB	BOR|BOREALIN|DasraB|MESRGP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Sampath SC (2004)	PUBMED:15260989	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q53HL2	-	NP_001243804|NP_060571	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251071	55143	9212	120446	114646	-	-	CDCA8	AURKB	BOR|BOREALIN|DasraB|MESRGP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Gassmann R (2004)	PUBMED:15249581	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q53HL2	-	NP_001243804|NP_060571	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251073	9212	55920	114646	121001	-	-	AURKB	RCC2	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	TD-60	Affinity Capture-Western	physical	Gassmann R (2004)	PUBMED:15249581	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q9P258	A0A024RAC5	NP_001129676|NP_061185	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251074	9212	9212	114646	114646	-	-	AURKB	AURKB	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Gassmann R (2004)	PUBMED:15249581	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251075	9212	3619	114646	109831	-	-	AURKB	INCENP	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	-	Affinity Capture-Western	physical	Gassmann R (2004)	PUBMED:15249581	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q9NQS7	-	NP_064623|NP_001035784	-	-	-	-	-	-	Homo sapiens	Homo sapiens
251078	9212	55143	114646	120446	-	-	AURKB	CDCA8	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	BOR|BOREALIN|DasraB|MESRGP	Biochemical Activity	physical	Gassmann R (2004)	PUBMED:15249581	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q53HL2	-	NP_001243804|NP_060571	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252014	9212	6867	114646	112730	-	-	AURKB	TACC1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Ga55	Affinity Capture-Western	physical	Delaval B (2004)	PUBMED:15064709	9606	9606	Low Throughput	-	-	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	O75410	Q5HYH0	NP_001339717|NP_001339716|NP_001339715|NP_001339714|NP_001339713|NP_001116296|NP_001339711|NP_001339710|NP_001339719|NP_001339718|NP_001339707|NP_006274|NP_001339712|NP_001339722|NP_001339723|NP_001339720|NP_001339721|NP_001339726|NP_001339727|NP_001339724|NP_001339725|NP_001339728|NP_001339708|NP_001339709|NP_001139688|NP_001317450|NP_001339730|NP_001339733|NP_001339732	-	-	-	-	-	-	Homo sapiens	Homo sapiens
252015	6867	9212	112730	114646	-	-	TACC1	AURKB	Ga55	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	Affinity Capture-Western	physical	Delaval B (2004)	PUBMED:15064709	9606	9606	Low Throughput	-	-	-	-	BIOGRID	O75410	Q5HYH0	NP_001339717|NP_001339716|NP_001339715|NP_001339714|NP_001339713|NP_001116296|NP_001339711|NP_001339710|NP_001339719|NP_001339718|NP_001339707|NP_006274|NP_001339712|NP_001339722|NP_001339723|NP_001339720|NP_001339721|NP_001339726|NP_001339727|NP_001339724|NP_001339725|NP_001339728|NP_001339708|NP_001339709|NP_001139688|NP_001317450|NP_001339730|NP_001339733|NP_001339732	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	-	-	-	-	-	-	Homo sapiens	Homo sapiens
259289	9212	29127	114646	118892	-	-	AURKB	RACGAP1	AIK2|AIM-1|AIM1|ARK2|AurB|IPL1|PPP1R48|STK12|STK5|aurkb-sv1|aurkb-sv2	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Biochemical Activity	physical	Minoshima Y (2003)	PUBMED:12689593	9606	9606	Low Throughput	-	Phosphorylation	-	-	BIOGRID	Q96GD4	-	NP_001300879|NP_001243763|NP_004208|NP_001300883|NP_001300882|NP_001300881|NP_001300880|NP_001300884|NP_001271455	Q9H0H5	A0A024R136|B2RE34	NP_001306929|NP_001119576|NP_001119575|NP_037409|NP_001306935|NP_001306934|NP_001306928|NP_001306936|NP_001306931|NP_001306930|NP_001306933|NP_001306932	-	-	-	-	-	-	Homo sapiens	Homo sapiens
